Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
13/02/2024 2:31:55 PM (UTC+1030), 6052534.1, 330040.26, 0.29, 0.11
13/02/2024 2:31:56 PM (UTC+1030), 6052533.29, 330039.62, 0.28, 0.11
13/02/2024 2:31:57 PM (UTC+1030), 6052532.49, 330039.08, 0.26, 0.11
13/02/2024 2:31:58 PM (UTC+1030), 6052531.84, 330038.48, 0.24, 0.11
13/02/2024 2:31:59 PM (UTC+1030), 6052531.47, 330037.98, 0.25, 0.11
13/02/2024 2:32:01 PM (UTC+1030), 6052531.15, 330038, 0.24, 0.11
13/02/2024 2:32:03 PM (UTC+1030), 6052531.74, 330038.18, 0.25, 0.11
13/02/2024 2:32:04 PM (UTC+1030), 6052532.46, 330038.47, 0.28, 0.11
13/02/2024 2:32:05 PM (UTC+1030), 6052533.01, 330038.57, 0.27, 0.11
13/02/2024 2:32:51 PM (UTC+1030), 6052533.75, 330038.67, 0.24, 0.10
13/02/2024 2:32:52 PM (UTC+1030), 6052534.42, 330038.47, 0.3, 0.10
13/02/2024 2:32:53 PM (UTC+1030), 6052535.12, 330038.17, 0.31, 0.10
13/02/2024 2:32:54 PM (UTC+1030), 6052535.35, 330037.85, 0.25, 0.11
13/02/2024 2:32:58 PM (UTC+1030), 6052535.87, 330037.89, 0.25, 0.11
13/02/2024 2:32:59 PM (UTC+1030), 6052536.46, 330037.91, 0.26, 0.11
13/02/2024 2:33:01 PM (UTC+1030), 6052536.6, 330037.7, 0.31, 0.11
13/02/2024 2:33:08 PM (UTC+1030), 6052536.96, 330037.36, 0.24, 0.11
13/02/2024 2:33:09 PM (UTC+1030), 6052537.35, 330036.68, 0.28, 0.11
13/02/2024 2:33:10 PM (UTC+1030), 6052537.93, 330035.73, 0.27, 0.11
13/02/2024 2:33:11 PM (UTC+1030), 6052538.48, 330034.73, 0.22, 0.11
13/02/2024 2:33:12 PM (UTC+1030), 6052539.14, 330033.64, 0.26, 0.11
13/02/2024 2:33:13 PM (UTC+1030), 6052539.71, 330032.6, 0.28, 0.11
13/02/2024 2:33:14 PM (UTC+1030), 6052540.46, 330031.63, 0.21, 0.11
13/02/2024 2:33:15 PM (UTC+1030), 6052541.17, 330030.7, 0.26, 0.11
13/02/2024 2:33:16 PM (UTC+1030), 6052541.86, 330029.7, 0.24, 0.11
13/02/2024 2:33:17 PM (UTC+1030), 6052542.44, 330028.57, 0.27, 0.11
13/02/2024 2:33:18 PM (UTC+1030), 6052542.92, 330027.38, 0.23, 0.11
13/02/2024 2:33:19 PM (UTC+1030), 6052543.42, 330026.24, 0.23, 0.10
13/02/2024 2:33:20 PM (UTC+1030), 6052543.95, 330025.12, 0.27, 0.10
13/02/2024 2:33:21 PM (UTC+1030), 6052544.49, 330023.97, 0.19, 0.11
13/02/2024 2:33:22 PM (UTC+1030), 6052545.15, 330022.91, 0.26, 0.11
13/02/2024 2:33:23 PM (UTC+1030), 6052545.85, 330021.82, 0.22, 0.11
13/02/2024 2:33:24 PM (UTC+1030), 6052546.45, 330020.67, 0.21, 0.11
13/02/2024 2:33:25 PM (UTC+1030), 6052547.07, 330019.54, 0.2, 0.10
13/02/2024 2:33:26 PM (UTC+1030), 6052547.61, 330018.5, 0.18, 0.11
13/02/2024 2:33:27 PM (UTC+1030), 6052548.17, 330017.61, 0.16, 0.10
13/02/2024 2:33:28 PM (UTC+1030), 6052548.69, 330016.56, 0.16, 0.10
13/02/2024 2:33:29 PM (UTC+1030), 6052549.28, 330015.4, 0.17, 0.10
13/02/2024 2:33:30 PM (UTC+1030), 6052549.67, 330014.28, 0.2, 0.10
13/02/2024 2:33:31 PM (UTC+1030), 6052549.92, 330013.06, 0.2, 0.11
13/02/2024 2:33:32 PM (UTC+1030), 6052550.2, 330011.9, 0.15, 0.11
13/02/2024 2:33:33 PM (UTC+1030), 6052550.72, 330010.73, 0.1, 0.10
13/02/2024 2:33:34 PM (UTC+1030), 6052551.4, 330009.64, 0.18, 0.11
13/02/2024 2:33:35 PM (UTC+1030), 6052552.02, 330008.61, 0.12, 0.11
13/02/2024 2:33:36 PM (UTC+1030), 6052552.51, 330007.46, 0.17, 0.11
13/02/2024 2:33:37 PM (UTC+1030), 6052553.1, 330006.35, 0.19, 0.11
13/02/2024 2:33:38 PM (UTC+1030), 6052553.7, 330005.19, 0.12, 0.11
