Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
17/9/2024 10:02:05 am (UTC+1000), 6200547.28, 626792.05, 38.83, 0.03
17/9/2024 10:02:06 am (UTC+1000), 6200545.91, 626792, 38.8, 0.03
17/9/2024 10:02:07 am (UTC+1000), 6200544.53, 626792.03, 38.76, 0.03
17/9/2024 10:02:08 am (UTC+1000), 6200543.15, 626792.18, 38.8, 0.02
17/9/2024 10:02:09 am (UTC+1000), 6200541.82, 626792.3, 38.84, 0.03
17/9/2024 10:02:10 am (UTC+1000), 6200540.47, 626792.35, 38.82, 0.02
17/9/2024 10:02:11 am (UTC+1000), 6200539.07, 626792.37, 38.81, 0.02
17/9/2024 10:02:12 am (UTC+1000), 6200537.71, 626792.53, 38.87, 0.02
17/9/2024 10:02:13 am (UTC+1000), 6200536.44, 626792.71, 38.81, 0.02
17/9/2024 10:02:14 am (UTC+1000), 6200535.16, 626793.03, 38.86, 0.02
17/9/2024 10:02:15 am (UTC+1000), 6200533.85, 626793.24, 38.87, 0.03
17/9/2024 10:02:16 am (UTC+1000), 6200532.52, 626793.46, 38.82, 0.03
17/9/2024 10:02:17 am (UTC+1000), 6200531.18, 626793.73, 38.89, 0.03
17/9/2024 10:02:18 am (UTC+1000), 6200529.87, 626794.05, 38.92, 0.02
17/9/2024 10:02:19 am (UTC+1000), 6200528.53, 626794.35, 38.87, 0.02
17/9/2024 10:02:20 am (UTC+1000), 6200527.22, 626794.71, 38.89, 0.02
17/9/2024 10:02:21 am (UTC+1000), 6200525.94, 626795.01, 38.95, 0.02
17/9/2024 10:02:22 am (UTC+1000), 6200524.61, 626795.26, 38.9, 0.02
17/9/2024 10:02:23 am (UTC+1000), 6200523.22, 626795.46, 38.89, 0.02
17/9/2024 10:02:24 am (UTC+1000), 6200521.85, 626795.66, 38.97, 0.02
17/9/2024 10:02:25 am (UTC+1000), 6200520.51, 626795.92, 38.98, 0.02
17/9/2024 10:02:26 am (UTC+1000), 6200519.19, 626796.27, 38.93, 0.02
17/9/2024 10:02:27 am (UTC+1000), 6200517.84, 626796.61, 39, 0.02
17/9/2024 10:02:28 am (UTC+1000), 6200516.46, 626796.89, 39.01, 0.02
17/9/2024 10:02:29 am (UTC+1000), 6200515.15, 626797.19, 38.99, 0.02
17/9/2024 10:02:30 am (UTC+1000), 6200513.77, 626797.43, 39, 0.02
17/9/2024 10:02:31 am (UTC+1000), 6200512.43, 626797.73, 39.05, 0.02
17/9/2024 10:02:32 am (UTC+1000), 6200511.14, 626798.01, 38.97, 0.02
17/9/2024 10:02:33 am (UTC+1000), 6200509.85, 626798.31, 39.03, 0.02
17/9/2024 10:02:34 am (UTC+1000), 6200508.5, 626798.53, 39.05, 0.02
17/9/2024 10:02:35 am (UTC+1000), 6200507.12, 626798.7, 39.03, 0.02
17/9/2024 10:02:36 am (UTC+1000), 6200505.75, 626798.82, 39.02, 0.02
17/9/2024 10:02:37 am (UTC+1000), 6200504.41, 626798.98, 39.09, 0.02
17/9/2024 10:02:38 am (UTC+1000), 6200503.04, 626799.2, 39.08, 0.02
17/9/2024 10:02:39 am (UTC+1000), 6200501.71, 626799.53, 39.05, 0.02
17/9/2024 10:02:40 am (UTC+1000), 6200500.4, 626799.85, 39.08, 0.02
17/9/2024 10:02:41 am (UTC+1000), 6200499.08, 626800.16, 39.09, 0.02
17/9/2024 10:02:42 am (UTC+1000), 6200497.74, 626800.53, 39.05, 0.02
17/9/2024 10:02:43 am (UTC+1000), 6200496.42, 626800.85, 39.11, 0.02
17/9/2024 10:02:44 am (UTC+1000), 6200495.09, 626801.18, 39.14, 0.02
17/9/2024 10:02:45 am (UTC+1000), 6200493.72, 626801.48, 39.06, 0.02
17/9/2024 10:02:46 am (UTC+1000), 6200492.41, 626801.77, 39.13, 0.02
17/9/2024 10:02:47 am (UTC+1000), 6200491.08, 626802.04, 39.16, 0.02
17/9/2024 10:02:48 am (UTC+1000), 6200489.69, 626802.22, 39.1, 0.02
17/9/2024 10:02:49 am (UTC+1000), 6200488.36, 626802.34, 39.16, 0.02
17/9/2024 10:02:50 am (UTC+1000), 6200487, 626802.61, 39.16, 0.02
17/9/2024 10:02:51 am (UTC+1000), 6200485.67, 626802.89, 39.12, 0.02
17/9/2024 10:02:52 am (UTC+1000), 6200484.39, 626803.08, 39.2, 0.02
17/9/2024 10:02:53 am (UTC+1000), 6200483.04, 626803.3, 39.24, 0.02
17/9/2024 10:02:54 am (UTC+1000), 6200481.69, 626803.53, 39.19, 0.02
17/9/2024 10:02:55 am (UTC+1000), 6200480.36, 626803.72, 39.24, 0.02
17/9/2024 10:02:56 am (UTC+1000), 6200479.07, 626803.96, 39.32, 0.02
17/9/2024 10:02:57 am (UTC+1000), 6200477.77, 626804.15, 39.21, 0.02
17/9/2024 10:02:58 am (UTC+1000), 6200476.56, 626804.29, 39.26, 0.02
17/9/2024 10:02:59 am (UTC+1000), 6200475.42, 626804.37, 39.25, 0.03
17/9/2024 10:03:00 am (UTC+1000), 6200474.33, 626804.49, 39.25, 0.04
17/9/2024 10:03:01 am (UTC+1000), 6200473.02, 626804.84, 39.33, 0.06
17/9/2024 10:03:02 am (UTC+1000), 6200471.83, 626804.97, 39.24, 0.06
17/9/2024 10:03:03 am (UTC+1000), 6200470.6, 626805.15, 39.51, 0.06
17/9/2024 10:03:04 am (UTC+1000), 6200469.32, 626805.14, 39.41, 0.06
17/9/2024 10:03:05 am (UTC+1000), 6200467.96, 626805.22, 39.34, 0.06
17/9/2024 10:03:06 am (UTC+1000), 6200466.57, 626805.26, 39.39, 0.06
17/9/2024 10:03:07 am (UTC+1000), 6200465.24, 626805.35, 39.4, 0.06
17/9/2024 10:03:08 am (UTC+1000), 6200463.91, 626805.52, 39.41, 0.06
17/9/2024 10:03:09 am (UTC+1000), 6200462.65, 626805.7, 39.48, 0.06
17/9/2024 10:03:10 am (UTC+1000), 6200461.36, 626805.79, 39.46, 0.06
17/9/2024 10:03:11 am (UTC+1000), 6200459.99, 626805.8, 39.42, 0.06
17/9/2024 10:03:12 am (UTC+1000), 6200458.6, 626805.85, 39.35, 0.08
17/9/2024 10:03:13 am (UTC+1000), 6200457.3, 626805.98, 39.32, 0.08
17/9/2024 10:03:14 am (UTC+1000), 6200455.99, 626806.22, 39.29, 0.08
17/9/2024 10:03:15 am (UTC+1000), 6200454.73, 626806.42, 39.4, 0.04
17/9/2024 10:03:16 am (UTC+1000), 6200453.44, 626806.59, 39.41, 0.03
17/9/2024 10:03:17 am (UTC+1000), 6200452.14, 626806.72, 39.38, 0.03
17/9/2024 10:03:18 am (UTC+1000), 6200450.83, 626806.77, 39.38, 0.04
17/9/2024 10:03:19 am (UTC+1000), 6200449.47, 626806.86, 39.32, 0.04
17/9/2024 10:03:20 am (UTC+1000), 6200448.13, 626806.99, 39.37, 0.04
17/9/2024 10:03:21 am (UTC+1000), 6200446.83, 626807.09, 39.43, 0.04
17/9/2024 10:03:22 am (UTC+1000), 6200445.58, 626807.14, 39.45, 0.03
17/9/2024 10:03:23 am (UTC+1000), 6200444.26, 626807.2, 39.4, 0.04
17/9/2024 10:03:24 am (UTC+1000), 6200443.02, 626807.43, 39.49, 0.04
17/9/2024 10:03:25 am (UTC+1000), 6200441.77, 626807.4, 39.33, 0.04
17/9/2024 10:03:26 am (UTC+1000), 6200440.55, 626807.39, 39.21, 0.04
17/9/2024 10:03:27 am (UTC+1000), 6200439.35, 626807.43, 39.07, 0.04
17/9/2024 10:03:28 am (UTC+1000), 6200438.16, 626807.55, 38.82, 0.04
17/9/2024 10:03:29 am (UTC+1000), 6200436.95, 626807.5, 38.64, 0.06
17/9/2024 10:03:30 am (UTC+1000), 6200435.78, 626807.35, 38.79, 0.07
17/9/2024 10:03:31 am (UTC+1000), 6200434.74, 626807.24, 38.45, 0.09
17/9/2024 10:03:32 am (UTC+1000), 6200433.6, 626807.09, 38.41, 0.08
17/9/2024 10:03:33 am (UTC+1000), 6200432.61, 626806.97, 38.18, 0.08
17/9/2024 10:03:34 am (UTC+1000), 6200431.51, 626806.9, 38.01, 0.08
17/9/2024 10:03:35 am (UTC+1000), 6200430.42, 626806.89, 37.86, 0.08
17/9/2024 10:03:36 am (UTC+1000), 6200429.36, 626806.92, 37.74, 0.08
17/9/2024 10:03:37 am (UTC+1000), 6200428.34, 626806.95, 37.73, 0.08
17/9/2024 10:03:38 am (UTC+1000), 6200427.44, 626806.93, 37.5, 0.09
17/9/2024 10:03:39 am (UTC+1000), 6200426.66, 626806.89, 37.3, 0.09
17/9/2024 10:03:40 am (UTC+1000), 6200425.94, 626806.87, 37.03, 0.09
17/9/2024 10:03:41 am (UTC+1000), 6200425.2, 626806.88, 36.6, 0.09
17/9/2024 10:03:42 am (UTC+1000), 6200424.35, 626807.02, 36.13, 0.09
17/9/2024 10:03:43 am (UTC+1000), 6200423.34, 626807.09, 35.85, 0.09
17/9/2024 10:03:44 am (UTC+1000), 6200422.22, 626807.22, 35.62, 0.03
17/9/2024 10:03:45 am (UTC+1000), 6200421.29, 626807.26, 35.48, 0.03
17/9/2024 10:03:46 am (UTC+1000), 6200420.45, 626807.12, 35.36, 0.03
17/9/2024 10:03:47 am (UTC+1000), 6200419.63, 626807.13, 35.31, 0.03
17/9/2024 10:03:48 am (UTC+1000), 6200418.97, 626807.25, 35.16, 0.03
17/9/2024 10:03:49 am (UTC+1000), 6200418.64, 626807.24, 35.17, 0.03
17/9/2024 10:04:07 am (UTC+1000), 6200418.65, 626807.54, 35.28, 0.03
17/9/2024 10:04:08 am (UTC+1000), 6200418.62, 626807.95, 35.25, 0.03
17/9/2024 10:04:09 am (UTC+1000), 6200418.93, 626808.1, 35.3, 0.03
17/9/2024 10:04:10 am (UTC+1000), 6200419.29, 626808.06, 35.33, 0.03
17/9/2024 10:04:11 am (UTC+1000), 6200419.7, 626807.9, 35.41, 0.03
17/9/2024 10:04:12 am (UTC+1000), 6200420.01, 626807.6, 35.47, 0.03
17/9/2024 10:04:22 am (UTC+1000), 6200420.42, 626807.91, 35.46, 0.02
17/9/2024 10:04:23 am (UTC+1000), 6200420.96, 626807.88, 35.54, 0.03
17/9/2024 10:04:24 am (UTC+1000), 6200421.4, 626807.84, 35.6, 0.03
17/9/2024 10:04:42 am (UTC+1000), 6200421.36, 626807.52, 35.52, 0.02
17/9/2024 10:04:43 am (UTC+1000), 6200421.1, 626807.11, 35.56, 0.03
17/9/2024 10:04:55 am (UTC+1000), 6200421.43, 626807.56, 35.54, 0.03
17/9/2024 10:04:59 am (UTC+1000), 6200421.28, 626807.98, 35.5, 0.03
17/9/2024 10:05:04 am (UTC+1000), 6200421.22, 626807.73, 35.57, 0.02
17/9/2024 10:05:06 am (UTC+1000), 6200421.26, 626808.07, 35.53, 0.02
17/9/2024 10:06:03 am (UTC+1000), 6200421.31, 626808.33, 35.56, 0.03
17/9/2024 10:06:12 am (UTC+1000), 6200421.53, 626808.19, 35.54, 0.03
17/9/2024 10:06:33 am (UTC+1000), 6200421.93, 626808.02, 35.61, 0.04
17/9/2024 10:06:34 am (UTC+1000), 6200422.53, 626807.72, 35.74, 0.04
17/9/2024 10:06:35 am (UTC+1000), 6200423.15, 626807.63, 35.83, 0.04
17/9/2024 10:06:36 am (UTC+1000), 6200423.84, 626807.61, 36, 0.04
17/9/2024 10:06:37 am (UTC+1000), 6200424.46, 626807.44, 36.2, 0.04
17/9/2024 10:06:38 am (UTC+1000), 6200425.05, 626807.28, 36.6, 0.03
17/9/2024 10:06:39 am (UTC+1000), 6200425.47, 626807.3, 36.82, 0.03
17/9/2024 10:06:40 am (UTC+1000), 6200425.93, 626807.24, 37.04, 0.03
17/9/2024 10:06:41 am (UTC+1000), 6200426.44, 626807.26, 37.25, 0.03
17/9/2024 10:06:42 am (UTC+1000), 6200426.95, 626807.26, 37.43, 0.03
17/9/2024 10:06:43 am (UTC+1000), 6200427.57, 626807.19, 37.59, 0.03
17/9/2024 10:06:44 am (UTC+1000), 6200427.82, 626807.32, 37.66, 0.03
17/9/2024 10:06:46 am (UTC+1000), 6200427.9, 626807.65, 37.68, 0.03
17/9/2024 10:07:26 am (UTC+1000), 6200428.24, 626807.55, 37.71, 0.02
17/9/2024 10:07:27 am (UTC+1000), 6200428.79, 626807.58, 37.73, 0.02
17/9/2024 10:07:28 am (UTC+1000), 6200429.61, 626807.8, 37.79, 0.02
17/9/2024 10:07:29 am (UTC+1000), 6200430.6, 626807.96, 37.87, 0.03
17/9/2024 10:07:30 am (UTC+1000), 6200431.6, 626808.16, 38.06, 0.03
17/9/2024 10:07:31 am (UTC+1000), 6200432.51, 626808.41, 38.18, 0.03
17/9/2024 10:07:32 am (UTC+1000), 6200433.35, 626808.61, 38.29, 0.04
17/9/2024 10:07:33 am (UTC+1000), 6200434.24, 626808.71, 38.49, 0.04
17/9/2024 10:07:34 am (UTC+1000), 6200435.14, 626808.78, 38.66, 0.05
17/9/2024 10:07:35 am (UTC+1000), 6200436.05, 626808.86, 38.76, 0.06
17/9/2024 10:07:36 am (UTC+1000), 6200436.92, 626808.87, 38.76, 0.07
17/9/2024 10:07:37 am (UTC+1000), 6200437.89, 626808.93, 38.95, 0.07
17/9/2024 10:07:38 am (UTC+1000), 6200438.87, 626809.04, 39.23, 0.07
17/9/2024 10:07:39 am (UTC+1000), 6200439.91, 626809.21, 39.27, 0.06
17/9/2024 10:07:40 am (UTC+1000), 6200440.99, 626809.04, 39.29, 0.05
17/9/2024 10:07:41 am (UTC+1000), 6200442.13, 626808.83, 39.32, 0.06
17/9/2024 10:07:42 am (UTC+1000), 6200443.34, 626808.69, 39.44, 0.05
17/9/2024 10:07:43 am (UTC+1000), 6200444.52, 626808.57, 39.39, 0.05
17/9/2024 10:07:44 am (UTC+1000), 6200445.65, 626808.44, 39.36, 0.04
17/9/2024 10:07:45 am (UTC+1000), 6200446.79, 626808.25, 39.38, 0.04
17/9/2024 10:07:46 am (UTC+1000), 6200447.94, 626808.04, 39.38, 0.04
17/9/2024 10:07:47 am (UTC+1000), 6200449.05, 626807.97, 39.38, 0.04
17/9/2024 10:07:48 am (UTC+1000), 6200450.25, 626807.94, 39.34, 0.04
17/9/2024 10:07:49 am (UTC+1000), 6200451.38, 626807.84, 39.38, 0.04
17/9/2024 10:07:50 am (UTC+1000), 6200452.54, 626807.75, 39.32, 0.03
17/9/2024 10:07:51 am (UTC+1000), 6200453.72, 626807.65, 39.38, 0.04
17/9/2024 10:07:52 am (UTC+1000), 6200454.88, 626807.67, 39.37, 0.03
17/9/2024 10:07:53 am (UTC+1000), 6200456.1, 626807.66, 39.39, 0.03
17/9/2024 10:07:54 am (UTC+1000), 6200457.32, 626807.58, 39.37, 0.03
17/9/2024 10:07:55 am (UTC+1000), 6200458.5, 626807.54, 39.38, 0.03
17/9/2024 10:07:56 am (UTC+1000), 6200459.56, 626807.49, 39.34, 0.03
17/9/2024 10:07:57 am (UTC+1000), 6200460.52, 626807.53, 39.37, 0.03
17/9/2024 10:07:58 am (UTC+1000), 6200461.46, 626807.61, 39.33, 0.03
17/9/2024 10:07:59 am (UTC+1000), 6200462.38, 626807.69, 39.34, 0.03
17/9/2024 10:08:00 am (UTC+1000), 6200463.26, 626807.68, 39.29, 0.03
17/9/2024 10:08:01 am (UTC+1000), 6200464.23, 626807.68, 39.33, 0.03
17/9/2024 10:08:02 am (UTC+1000), 6200465.31, 626807.68, 39.31, 0.03
17/9/2024 10:08:03 am (UTC+1000), 6200466.44, 626807.72, 39.33, 0.03
17/9/2024 10:08:04 am (UTC+1000), 6200467.68, 626807.64, 39.22, 0.03
17/9/2024 10:08:05 am (UTC+1000), 6200468.91, 626807.45, 39.25, 0.03
17/9/2024 10:08:06 am (UTC+1000), 6200470.15, 626807.25, 39.23, 0.03
17/9/2024 10:08:07 am (UTC+1000), 6200471.28, 626807.04, 39.26, 0.03
17/9/2024 10:08:08 am (UTC+1000), 6200472.48, 626806.95, 39.21, 0.03
17/9/2024 10:08:09 am (UTC+1000), 6200473.72, 626806.81, 39.29, 0.03
17/9/2024 10:08:10 am (UTC+1000), 6200474.98, 626806.66, 39.24, 0.04
17/9/2024 10:08:11 am (UTC+1000), 6200476.06, 626806.39, 39.24, 0.04
17/9/2024 10:08:12 am (UTC+1000), 6200477.27, 626806.09, 39.24, 0.04
17/9/2024 10:08:13 am (UTC+1000), 6200478.41, 626805.82, 39.26, 0.04
17/9/2024 10:08:14 am (UTC+1000), 6200479.55, 626805.65, 39.18, 0.05
17/9/2024 10:08:15 am (UTC+1000), 6200480.75, 626805.41, 39.2, 0.05
17/9/2024 10:08:16 am (UTC+1000), 6200482, 626805.09, 39.13, 0.05
17/9/2024 10:08:17 am (UTC+1000), 6200483.15, 626804.78, 39.17, 0.05
17/9/2024 10:08:18 am (UTC+1000), 6200484.42, 626804.6, 39.14, 0.03
17/9/2024 10:08:19 am (UTC+1000), 6200485.66, 626804.43, 39.09, 0.03
17/9/2024 10:08:20 am (UTC+1000), 6200486.94, 626804.24, 39.14, 0.02
17/9/2024 10:08:21 am (UTC+1000), 6200488.13, 626803.99, 39.14, 0.03
17/9/2024 10:08:22 am (UTC+1000), 6200489.42, 626803.72, 39.09, 0.02
17/9/2024 10:08:23 am (UTC+1000), 6200490.66, 626803.49, 39.14, 0.02
17/9/2024 10:08:24 am (UTC+1000), 6200491.91, 626803.31, 39.12, 0.02
17/9/2024 10:08:25 am (UTC+1000), 6200493.16, 626803.11, 39.12, 0.02
17/9/2024 10:08:26 am (UTC+1000), 6200494.36, 626802.92, 39.13, 0.02
17/9/2024 10:08:27 am (UTC+1000), 6200495.56, 626802.63, 39.07, 0.02
17/9/2024 10:08:28 am (UTC+1000), 6200496.74, 626802.33, 39.12, 0.02
17/9/2024 10:08:29 am (UTC+1000), 6200497.98, 626802.09, 39.11, 0.02
17/9/2024 10:08:30 am (UTC+1000), 6200499.26, 626801.87, 39.09, 0.02
17/9/2024 10:08:31 am (UTC+1000), 6200500.56, 626801.68, 39.13, 0.02
17/9/2024 10:08:32 am (UTC+1000), 6200501.85, 626801.42, 39.06, 0.02
17/9/2024 10:08:33 am (UTC+1000), 6200503.14, 626801.15, 39.02, 0.02
17/9/2024 10:08:34 am (UTC+1000), 6200504.4, 626800.92, 39.07, 0.02
17/9/2024 10:08:35 am (UTC+1000), 6200505.64, 626800.78, 39.04, 0.02
17/9/2024 10:08:36 am (UTC+1000), 6200506.96, 626800.66, 39.04, 0.02
17/9/2024 10:08:37 am (UTC+1000), 6200508.26, 626800.44, 39.07, 0.02
17/9/2024 10:08:38 am (UTC+1000), 6200509.49, 626800.17, 39.04, 0.02
17/9/2024 10:08:39 am (UTC+1000), 6200510.72, 626799.88, 39.01, 0.02
17/9/2024 10:08:40 am (UTC+1000), 6200511.98, 626799.67, 39.03, 0.02
17/9/2024 10:08:41 am (UTC+1000), 6200513.28, 626799.51, 38.99, 0.02
17/9/2024 10:08:42 am (UTC+1000), 6200514.61, 626799.37, 38.94, 0.02
17/9/2024 10:08:43 am (UTC+1000), 6200515.9, 626799.16, 39.02, 0.02
17/9/2024 10:08:44 am (UTC+1000), 6200517.2, 626799, 38.95, 0.02
17/9/2024 10:08:45 am (UTC+1000), 6200518.54, 626798.77, 38.97, 0.02
17/9/2024 10:08:46 am (UTC+1000), 6200519.85, 626798.61, 39.01, 0.02
17/9/2024 10:08:47 am (UTC+1000), 6200521.15, 626798.58, 38.95, 0.03
17/9/2024 10:08:48 am (UTC+1000), 6200522.49, 626798.5, 38.94, 0.02
17/9/2024 10:08:49 am (UTC+1000), 6200523.81, 626798.36, 38.98, 0.03
17/9/2024 10:08:50 am (UTC+1000), 6200525.11, 626798.22, 38.92, 0.02
17/9/2024 10:08:51 am (UTC+1000), 6200526.44, 626798.1, 38.92, 0.02
17/9/2024 10:08:52 am (UTC+1000), 6200527.7, 626797.96, 38.98, 0.02
17/9/2024 10:08:53 am (UTC+1000), 6200529, 626797.92, 38.95, 0.02
17/9/2024 10:08:54 am (UTC+1000), 6200530.28, 626797.89, 38.85, 0.02
17/9/2024 10:08:55 am (UTC+1000), 6200531.6, 626797.85, 38.91, 0.02
17/9/2024 10:08:56 am (UTC+1000), 6200532.91, 626797.73, 38.88, 0.02
17/9/2024 10:08:57 am (UTC+1000), 6200534.22, 626797.59, 38.81, 0.02
17/9/2024 10:08:58 am (UTC+1000), 6200535.48, 626797.45, 38.85, 0.02
17/9/2024 10:08:59 am (UTC+1000), 6200536.75, 626797.32, 38.83, 0.02
17/9/2024 10:09:00 am (UTC+1000), 6200538.03, 626797.16, 38.8, 0.02
17/9/2024 10:09:01 am (UTC+1000), 6200539.29, 626796.96, 38.82, 0.02
17/9/2024 10:09:02 am (UTC+1000), 6200540.53, 626796.67, 38.83, 0.02
17/9/2024 10:09:03 am (UTC+1000), 6200541.83, 626796.29, 38.78, 0.02
17/9/2024 10:09:04 am (UTC+1000), 6200543.09, 626795.98, 38.82, 0.02
17/9/2024 10:09:05 am (UTC+1000), 6200544.32, 626795.67, 38.77, 0.02
17/9/2024 10:09:06 am (UTC+1000), 6200545.49, 626795.37, 38.77, 0.02
17/9/2024 10:09:07 am (UTC+1000), 6200546.66, 626795.11, 38.79, 0.02
17/9/2024 10:09:08 am (UTC+1000), 6200547.86, 626794.83, 38.73, 0.02
17/9/2024 10:09:09 am (UTC+1000), 6200549.06, 626794.49, 38.8, 0.02
17/9/2024 10:09:10 am (UTC+1000), 6200550.35, 626794.25, 38.76, 0.02
17/9/2024 10:09:11 am (UTC+1000), 6200551.66, 626793.97, 38.69, 0.02
17/9/2024 10:09:12 am (UTC+1000), 6200552.95, 626793.68, 38.74, 0.02
17/9/2024 10:09:13 am (UTC+1000), 6200554.19, 626793.34, 38.7, 0.02
17/9/2024 10:09:14 am (UTC+1000), 6200555.49, 626793.1, 38.7, 0.02
17/9/2024 10:09:15 am (UTC+1000), 6200556.75, 626792.84, 38.73, 0.02
17/9/2024 10:09:16 am (UTC+1000), 6200558.02, 626792.56, 38.67, 0.02
17/9/2024 10:09:17 am (UTC+1000), 6200559.33, 626792.31, 38.61, 0.02
17/9/2024 10:09:18 am (UTC+1000), 6200560.65, 626792.03, 38.67, 0.02
17/9/2024 10:09:19 am (UTC+1000), 6200561.94, 626791.7, 38.65, 0.03
17/9/2024 10:09:20 am (UTC+1000), 6200563.18, 626791.3, 38.59, 0.03
17/9/2024 10:09:21 am (UTC+1000), 6200564.35, 626790.71, 38.64, 0.03
17/9/2024 10:09:22 am (UTC+1000), 6200565.26, 626789.83, 38.65, 0.03
17/9/2024 10:09:23 am (UTC+1000), 6200566.06, 626788.82, 38.56, 0.03
17/9/2024 10:09:24 am (UTC+1000), 6200566.82, 626787.76, 38.61, 0.03
17/9/2024 10:09:25 am (UTC+1000), 6200567.33, 626786.55, 38.61, 0.03
17/9/2024 10:09:26 am (UTC+1000), 6200567.66, 626785.3, 38.53, 0.03
17/9/2024 10:09:27 am (UTC+1000), 6200567.78, 626784.01, 38.55, 0.03
17/9/2024 10:09:28 am (UTC+1000), 6200567.78, 626782.64, 38.52, 0.02
17/9/2024 10:09:29 am (UTC+1000), 6200567.75, 626781.33, 38.48, 0.03
17/9/2024 10:09:30 am (UTC+1000), 6200567.67, 626780.07, 38.47, 0.02
17/9/2024 10:09:31 am (UTC+1000), 6200567.57, 626778.88, 38.44, 0.03
17/9/2024 10:09:32 am (UTC+1000), 6200567.37, 626777.68, 38.41, 0.02
17/9/2024 10:09:33 am (UTC+1000), 6200567.26, 626776.41, 38.39, 0.02
17/9/2024 10:09:34 am (UTC+1000), 6200567.21, 626775.14, 38.36, 0.03
17/9/2024 10:09:35 am (UTC+1000), 6200567.1, 626773.83, 38.45, 0.03
17/9/2024 10:09:36 am (UTC+1000), 6200566.81, 626772.54, 38.45, 0.03
17/9/2024 10:09:37 am (UTC+1000), 6200566.47, 626771.27, 38.45, 0.03
17/9/2024 10:09:38 am (UTC+1000), 6200566.13, 626770.11, 38.51, 0.03
17/9/2024 10:09:39 am (UTC+1000), 6200565.98, 626768.82, 38.42, 0.03
17/9/2024 10:09:40 am (UTC+1000), 6200565.83, 626767.56, 38.44, 0.04
17/9/2024 10:09:41 am (UTC+1000), 6200565.65, 626766.29, 38.54, 0.04
17/9/2024 10:09:42 am (UTC+1000), 6200565.36, 626765.03, 38.47, 0.04
17/9/2024 10:09:43 am (UTC+1000), 6200565.02, 626763.83, 38.52, 0.05
17/9/2024 10:09:44 am (UTC+1000), 6200564.94, 626762.61, 38.61, 0.05
17/9/2024 10:09:45 am (UTC+1000), 6200564.87, 626761.32, 38.6, 0.05
17/9/2024 10:09:46 am (UTC+1000), 6200564.76, 626760.04, 38.56, 0.04
17/9/2024 10:09:47 am (UTC+1000), 6200564.6, 626758.77, 38.48, 0.04
17/9/2024 10:09:48 am (UTC+1000), 6200564.35, 626757.53, 38.43, 0.04
17/9/2024 10:09:49 am (UTC+1000), 6200564.04, 626756.26, 38.41, 0.04
17/9/2024 10:09:50 am (UTC+1000), 6200563.71, 626754.97, 38.36, 0.03
17/9/2024 10:09:51 am (UTC+1000), 6200563.47, 626753.66, 38.34, 0.03
17/9/2024 10:09:52 am (UTC+1000), 6200563.11, 626752.41, 38.32, 0.03
17/9/2024 10:09:53 am (UTC+1000), 6200562.65, 626751.21, 38.27, 0.03
17/9/2024 10:09:54 am (UTC+1000), 6200562.14, 626750.01, 38.34, 0.03
17/9/2024 10:09:55 am (UTC+1000), 6200561.73, 626748.75, 38.35, 0.03
17/9/2024 10:09:56 am (UTC+1000), 6200561.26, 626747.49, 38.3, 0.03
17/9/2024 10:09:57 am (UTC+1000), 6200560.78, 626746.22, 38.33, 0.03
17/9/2024 10:09:58 am (UTC+1000), 6200560.3, 626744.98, 38.39, 0.03
17/9/2024 10:09:59 am (UTC+1000), 6200559.87, 626743.75, 38.39, 0.03
17/9/2024 10:10:00 am (UTC+1000), 6200559.51, 626742.62, 38.53, 0.03
17/9/2024 10:10:01 am (UTC+1000), 6200559.14, 626741.44, 38.53, 0.03
17/9/2024 10:10:02 am (UTC+1000), 6200558.86, 626740.24, 38.55, 0.03
17/9/2024 10:10:03 am (UTC+1000), 6200558.59, 626739.01, 38.64, 0.03
17/9/2024 10:10:04 am (UTC+1000), 6200558.28, 626737.8, 38.6, 0.03
17/9/2024 10:10:05 am (UTC+1000), 6200557.95, 626736.57, 38.65, 0.03
17/9/2024 10:10:06 am (UTC+1000), 6200557.74, 626735.4, 38.58, 0.03
17/9/2024 10:10:07 am (UTC+1000), 6200557.55, 626734.11, 38.63, 0.03
17/9/2024 10:10:08 am (UTC+1000), 6200557.29, 626732.87, 38.66, 0.03
17/9/2024 10:10:09 am (UTC+1000), 6200556.93, 626731.59, 38.58, 0.03
17/9/2024 10:10:10 am (UTC+1000), 6200556.57, 626730.42, 38.58, 0.03
17/9/2024 10:10:11 am (UTC+1000), 6200556.31, 626729.23, 38.69, 0.03
17/9/2024 10:10:12 am (UTC+1000), 6200556, 626728.15, 38.57, 0.04
17/9/2024 10:10:13 am (UTC+1000), 6200555.54, 626726.95, 38.52, 0.04
17/9/2024 10:10:14 am (UTC+1000), 6200555.25, 626725.79, 38.62, 0.04
17/9/2024 10:10:15 am (UTC+1000), 6200554.9, 626724.74, 38.48, 0.05
17/9/2024 10:10:16 am (UTC+1000), 6200554.5, 626723.71, 38.38, 0.05
17/9/2024 10:10:17 am (UTC+1000), 6200553.98, 626722.45, 38.06, 0.04
17/9/2024 10:10:18 am (UTC+1000), 6200553.62, 626721.26, 37.85, 0.04
17/9/2024 10:10:19 am (UTC+1000), 6200553.27, 626720.1, 37.77, 0.05
17/9/2024 10:10:20 am (UTC+1000), 6200552.94, 626718.94, 37.72, 0.05
